Name,Term,ES,NES,nominal_p,fdr,fwer_p,Tag %,Gene %,leading_edge
prerank,Coagulation,-0.4060004173251689,-1.6133042959576538,0.0018726591760299626,0.0917866874270144,0.126,19/51,18.81%,LRP1;FURIN;GNB2;SPARC;RABIF;CFD;GP9;CD9;CTSO;PF4;LTA4H;ITGB3;TIMP1;CLU;SH2B2;PREP;GP1BA;MMP9;CTSB
prerank,heme Metabolism,-0.3257849838059341,-1.5605108700085042,0.0017152658662092624,0.09809264305177111,0.193,75/169,29.46%,AQP3;PPOX;SLC10A3;ADD1;OSBP2;TRAK2;ATP6V0A1;FECH;BPGM;HBZ;NCOA4;RNF123;SPTB;ELL2;PSMD9;SEC14L1;NUDT4;SLC66A2;GAPVD1;NARF;ISCA1;CAT;MARCHF2;SMOX;RAP1GAP;TMEM9B;CA1;SLC6A8;MYL4;HTATIP2;ALAD;DMTN;SDCBP;ALDH6A1;MARCHF8;CCND3;BSG;MFHAS1;E2F2;CTSB;SIDT2;UBAC1;TOP1;FBXO7;GYPB;GYPC;VEZF1;GLRX5;RBM38;BTG2;TENT5C;BTRC;UROD;CCDC28A;GDE1;LRP10;ERMAP;HAGH;XPO7;GCLC;NFE2L1;RBM5;FBXO9;MXI1;PRDX2;TRIM58;MPP1;YPEL5;ARHGEF12;HDGF;KLF3;PGLS;GCLM;BMP2K;FOXJ2
prerank,IL-6/JAK/STAT3 Signaling,-0.41397116887237767,-1.6712291272522988,0.003795066413662239,0.10650058388478008,0.075,26/58,24.05%,IL1B;BAK1;IFNGR2;CSF1;CSF2RA;TNFRSF1A;CD9;LTB;IL1R2;SOCS3;IL17RA;PTPN1;IL10RB;PF4;ITGB3;CSF3R;PIK3R5;CBL;IRF9;IRF1;ACVR1B;LTBR;CSF2RB;SOCS1;MYD88;IFNGR1
prerank,UV Response Up,-0.3274198380501839,-1.4772165722569985,0.009398496240601503,0.12499805371739976,0.357,46/101,28.42%,RXRB;SULT1A1;AQP3;DLG4;BAK1;FURIN;TUBA4A;STARD3;RHOB;PPIF;POLR2H;NXF1;JUNB;ENO2;FOS;SIGMAR1;TMBIM6;SQSTM1;PRKACA;DGAT1;DNAJB1;LYN;SLC6A8;IRF1;MGAT1;KLHDC3;CREG1;CCND3;BSG;CDKN1C;SOD2;AGO2;BTG2;TARS1;UROD;POLE3;ICAM1;NFKBIA;CYB5B;CLTB;STIP1;MARK2;ARRB2;PRPF3;MRPL23;CNP
prerank,Apical Junction,-0.3392806421659276,-1.490784477690341,0.01079136690647482,0.14118333982094203,0.328,37/91,28.14%,AKT2;LDLRAP1;VASP;PCDH1;ACTN1;STX4;RAC2;TSPAN4;PBX2;ACTB;ARHGEF6;JAM3;IKBKG;ACTG1;CTNNA1;TIAL1;VCL;HADH;GNAI2;CD99;INPPL1;MMP9;MSN;CD274;BAIAP2;VAV2;CAP1;MAPK13;MYH9;ICAM1;PFN1;CRAT;SIRPA;YWHAH;MYL9;PECAM1;JUP
prerank,Notch Signaling,-0.46257192615265086,-1.4308201088321308,0.08270676691729323,0.15507979758660959,0.482,8/20,15.95%,PRKCA;NOTCH2;DTX2;NOTCH1;LFNG;TCF7L2;PSENEN;FZD5
prerank,Inflammatory Response,-0.30333185633863147,-1.3885262244218337,0.025547445255474453,0.19138074848467998,0.6,52/122,29.43%,ADRM1;ITGA5;IL1B;CD82;NFKB1;GNAI3;IFNGR2;CSF1;SELL;P2RX4;IL10RA;PVR;SCN1B;RNF144B;ACVR2A;STAB1;SLAMF1;ITGB3;CSF3R;PIK3R5;TIMP1;KLF6;ADGRE1;MXD1;LYN;NLRP3;FZD5;SCARF1;IRF1;DCBLD2;GP1BA;ADM;ACVR1B;TAPBP;BTG2;PTGIR;ICOSLG;RHOG;ICAM1;FPR1;CHST2;NFKBIA;TLR2;PTGER2;PROK2;RELA;TNFRSF1B;IL18RAP;PTAFR;SLC31A1;LCP2;RTP4
prerank,Unfolded Protein Response,-0.30604122139543277,-1.3306725707157216,0.06618962432915922,0.2135616971584274,0.762,30/92,23.54%,EIF4A3;ATF4;CEBPB;ZBTB17;SPCS3;LSM4;EIF2S1;EEF2;KHSRP;CNOT4;TSPYL2;EIF2AK3;DKC1;TATDN2;EDC4;YWHAZ;PAIP1;EIF4G1;EXOSC10;IMP3;EDEM1;SRPRB;ERO1A;TARS1;YIF1A;SDAD1;MTHFD2;HSP90B1;ATF6;XBP1
prerank,Androgen Response,-0.3191446512839983,-1.3371297280472427,0.06115107913669065,0.22421175554690542,0.737,23/75,18.64%,ADRM1;ZMIZ1;GPD1L;CAMKK2;RRP12;GNAI3;RAB4A;UBE2I;ACTN1;LMAN1;NCOA4;SPCS3;AKT1;ELL2;UBE2J1;ARID5B;GSR;PA2G4;SLC38A2;NDRG1;CCND3;ANKH;SGK1
prerank,Oxidative Phosphorylation,-0.27617680880304324,-1.3378513863203736,0.029250457038391225,0.2520630595562476,0.736,43/186,18.17%,ATP5F1D;CPT1A;NDUFA2;NDUFB7;CYB5A;OGDH;PDK4;BCKDHA;SURF1;ATP6V1H;NDUFA8;SLC25A3;GPX4;FH;COX15;TCIRG1;NDUFV1;NDUFA9;IDH3B;TOMM70;VDAC1;TIMM17A;TIMM10;ATP5MC2;ISCA1;DLST;ATP5F1A;OAT;ATP6V0B;ATP5PF;SDHA;COX4I1;MTRF1;AIFM1;NDUFB6;ACADVL;LDHB;MFN2;NDUFV2;ALDH6A1;COX7B;PHB2;ATP5F1B
prerank,Adipogenesis,-0.26983524486519084,-1.2791739085720482,0.05182341650671785,0.25702608018684314,0.868,48/147,25.69%,NDUFB7;PIM3;SULT1A1;UBC;TALDO1;DHRS7;BCKDHA;PGM1;MYLK;STAT5A;GPX4;DBT;GPAM;SLC19A1;GHITM;JAGN1;SAMM50;HIBCH;CD151;ANGPT1;SLC5A6;CAT;PLIN2;DGAT1;ARAF;AIFM1;LPCAT3;FAH;HADH;COX7B;APLP2;GPD2;ALDH2;SLC25A1;UCK1;ECH1;PFKFB3;RTN3;UBQLN1;ARL4A;ESYT1;RNF11;IFNGR1;PRDX3;SDHC;COQ9;CRAT;NDUFAB1
